tactic,surface,technique_count,avg_final_score,max_final_score,critical_count,medium_high_count,top_attack_vectors
Impact,Public Internet / Edge,14,10,10,14,0,T1496.001 Compute Hijacking; T1499 Endpoint Denial of Service; T1491.002 External Defacement; T1499.004 Application or System Exploitation; T1499.003 Application Exhaustion Flood
Impact,ESXi / Hypervisor,8,10,10,8,0,T1486 Data Encrypted for Impact; T1490 Inhibit System Recovery; T1489 Service Stop; T1485 Data Destruction; T1529 System Shutdown/Reboot
Impact,SaaS / Office / Email,6,10,10,6,0,T1657 Financial Theft; T1496 Resource Hijacking; T1531 Account Access Removal; T1667 Email Bombing; T1496.004 Cloud Service Hijacking
Impact,Containers / Kubernetes,5,10,10,5,0,T1485 Data Destruction; T1496.001 Compute Hijacking; T1496 Resource Hijacking; T1498 Network Denial of Service; T1496.002 Bandwidth Hijacking
Collection,ESXi / Hypervisor,4,10,10,4,0,T1074.001 Local Data Staging; T1005 Data from Local System; T1074.002 Remote Data Staging; T1074 Data Staged
Credential Access,Containers / Kubernetes,4,10,10,4,0,T1552.001 Credentials In Files; T1528 Steal Application Access Token; T1552 Unsecured Credentials; T1552.007 Container API
Lateral Movement,ESXi / Hypervisor,4,10,10,4,0,T1210 Exploitation of Remote Services; T1021.004 SSH; T1570 Lateral Tool Transfer; T1021 Remote Services
Exfiltration,SaaS / Office / Email,3,10,10,3,0,T1567 Exfiltration Over Web Service; T1537 Transfer Data to Cloud Account; T1567.004 Exfiltration Over Webhook
Command and Control,SaaS / Office / Email,1,10,10,1,0,T1105 Ingress Tool Transfer
Exfiltration,Identity / IAM,1,10,10,1,0,T1537 Transfer Data to Cloud Account
Defense Impairment,Containers / Kubernetes,1,10,10,1,0,T1685 Disable or Modify Tools
Initial Access,Containers / Kubernetes,1,10,10,1,0,T1133 External Remote Services
Command and Control,ESXi / Hypervisor,34,9.88,10,34,0,T1105 Ingress Tool Transfer; T1573.001 Symmetric Cryptography; T1132.001 Standard Encoding; T1573.002 Asymmetric Cryptography; T1090 Proxy
Impact,Endpoint / User,14,9.88,10,14,0,T1486 Data Encrypted for Impact; T1561.002 Disk Structure Wipe; T1561.001 Disk Content Wipe; T1491.001 Internal Defacement; T1561 Disk Wipe
Defense Impairment,ESXi / Hypervisor,4,9.85,10,4,0,T1685 Disable or Modify Tools; T1686 Disable or Modify System Firewall; T1222 File and Directory Permissions Modification; T1690 Prevent Command History Logging
Collection,Endpoint / User,16,9.84,10,16,0,T1074.001 Local Data Staging; T1560.001 Archive via Utility; T1560 Archive Collected Data; T1005 Data from Local System; T1113 Screen Capture
Persistence,ESXi / Hypervisor,15,9.79,10,15,0,T1136.001 Local Account; T1078.002 Domain Accounts; T1078 Valid Accounts; T1554 Compromise Host Software Binary; T1098 Account Manipulation
Defense Impairment,SaaS / Office / Email,9,9.79,10,9,0,T1556 Modify Authentication Process; T1556.006 Multi-Factor Authentication; T1484.002 Trust Modification; T1556.007 Hybrid Identity; T1687 Exploitation for Defense Impairment
Exfiltration,ESXi / Hypervisor,11,9.77,10,11,0,T1048.003 Exfiltration Over Unencrypted Non-C2 Protocol; T1041 Exfiltration Over C2 Channel; T1567.002 Exfiltration to Cloud Storage; T1567 Exfiltration Over Web Service; T1048 Exfiltration Over Alternative Protocol
Privilege Escalation,ESXi / Hypervisor,11,9.77,10,11,0,T1078.002 Domain Accounts; T1078 Valid Accounts; T1098 Account Manipulation; T1037.004 RC Scripts; T1037 Boot or Logon Initialization Scripts
Exfiltration,Server / Workload,13,9.74,10,13,0,T1048.003 Exfiltration Over Unencrypted Non-C2 Protocol; T1041 Exfiltration Over C2 Channel; T1567.002 Exfiltration to Cloud Storage; T1048.002 Exfiltration Over Asymmetric Encrypted Non-C2 Protocol; T1567.001 Exfiltration to Code Repository
Lateral Movement,Cloud Control Plane,10,9.69,10,10,0,T1072 Software Deployment Tools; T1534 Internal Spearphishing; T1021 Remote Services; T1021.003 Distributed Component Object Model; T1550 Use Alternate Authentication Material
Lateral Movement,Containers / Kubernetes,2,9.69,10,2,0,T1550 Use Alternate Authentication Material; T1550.001 Application Access Token
Command and Control,Endpoint / User,31,9.68,10,31,0,T1573.001 Symmetric Cryptography; T1132.001 Standard Encoding; T1573.002 Asymmetric Cryptography; T1071.001 Web Protocols; T1571 Non-Standard Port
Credential Access,Endpoint / User,31,9.66,10,31,0,T1003.001 LSASS Memory; T1056.002 GUI Input Capture; T1056.004 Credential API Hooking; T1557.001 Name Resolution Poisoning and SMB Relay; T1555.003 Credentials from Web Browsers
Lateral Movement,Endpoint / User,13,9.66,10,12,1,T1210 Exploitation of Remote Services; T1021.004 SSH; T1021.002 SMB/Windows Admin Shares; T1021.001 Remote Desktop Protocol; T1570 Lateral Tool Transfer
Exfiltration,Endpoint / User,9,9.63,10,9,0,T1041 Exfiltration Over C2 Channel; T1567.001 Exfiltration to Code Repository; T1011.001 Exfiltration Over Bluetooth; T1567.003 Exfiltration to Text Storage Sites; T1052 Exfiltration Over Physical Medium
Lateral Movement,SaaS / Office / Email,6,9.59,10,6,0,T1534 Internal Spearphishing; T1550 Use Alternate Authentication Material; T1080 Taint Shared Content; T1550.001 Application Access Token; T1021.007 Cloud Services
Initial Access,ESXi / Hypervisor,5,9.55,10,5,0,T1078.002 Domain Accounts; T1078 Valid Accounts; T1078.003 Local Accounts; T1078.001 Default Accounts; T1190 Exploit Public-Facing Application
Privilege Escalation,Public Internet / Edge,9,9.52,10,9,0,T1078.002 Domain Accounts; T1078 Valid Accounts; T1078.003 Local Accounts; T1078.004 Cloud Accounts; T1078.001 Default Accounts
Credential Access,Server / Workload,53,9.51,10,51,2,T1056.001 Keylogging; T1056 Input Capture; T1003.001 LSASS Memory; T1552.001 Credentials In Files; T1539 Steal Web Session Cookie
Credential Access,Public Internet / Edge,21,9.49,10,20,1,T1056.001 Keylogging; T1056 Input Capture; T1539 Steal Web Session Cookie; T1557.001 Name Resolution Poisoning and SMB Relay; T1056.003 Web Portal Capture
Impact,Cloud Control Plane,23,9.46,10,22,0,T1486 Data Encrypted for Impact; T1490 Inhibit System Recovery; T1489 Service Stop; T1485 Data Destruction; T1657 Financial Theft
Persistence,Cloud Control Plane,25,9.38,10,23,2,T1133 External Remote Services; T1136.001 Local Account; T1078 Valid Accounts; T1543 Create or Modify System Process; T1098 Account Manipulation
Privilege Escalation,Containers / Kubernetes,8,9.38,10,7,1,T1068 Exploitation for Privilege Escalation; T1543 Create or Modify System Process; T1098 Account Manipulation; T1611 Escape to Host; T1053 Scheduled Task/Job
Persistence,Containers / Kubernetes,8,9.3,10,7,1,T1133 External Remote Services; T1543 Create or Modify System Process; T1098 Account Manipulation; T1053 Scheduled Task/Job; T1543.005 Container Service
Privilege Escalation,SaaS / Office / Email,15,9.29,10,14,1,T1078 Valid Accounts; T1098 Account Manipulation; T1546 Event Triggered Execution; T1484.002 Trust Modification; T1548 Abuse Elevation Control Mechanism
Collection,Cloud Control Plane,14,9.29,10,13,0,T1074.001 Local Data Staging; T1119 Automated Collection; T1074.002 Remote Data Staging; T1074 Data Staged; T1213.006 Databases
Command and Control,Identity / IAM,7,9.28,10,7,0,T1071.004 DNS; T1132 Data Encoding; T1205.002 Socket Filters; T1659 Content Injection; T1205 Traffic Signaling
Command and Control,Public Internet / Edge,29,9.26,10,28,0,T1105 Ingress Tool Transfer; T1573.001 Symmetric Cryptography; T1573.002 Asymmetric Cryptography; T1090 Proxy; T1071.001 Web Protocols
Collection,Server / Workload,32,9.24,10,30,0,T1056.001 Keylogging; T1074.001 Local Data Staging; T1560.001 Archive via Utility; T1119 Automated Collection; T1560 Archive Collected Data
Command and Control,Server / Workload,47,9.17,10,44,1,T1105 Ingress Tool Transfer; T1573.001 Symmetric Cryptography; T1132.001 Standard Encoding; T1573.002 Asymmetric Cryptography; T1090 Proxy
Impact,Network / Perimeter,23,9.06,10,21,0,T1490 Inhibit System Recovery; T1529 System Shutdown/Reboot; T1561.002 Disk Structure Wipe; T1561.001 Disk Content Wipe; T1496.001 Compute Hijacking
Stealth,ESXi / Hypervisor,25,9.03,10,22,3,T1036.005 Match Legitimate Resource Name or Location; T1027 Obfuscated Files or Information; T1036 Masquerading; T1480 Execution Guardrails; T1078.002 Domain Accounts
Collection,Public Internet / Edge,20,9.0,10,18,1,T1056.001 Keylogging; T1114.002 Remote Email Collection; T1185 Browser Session Hijacking; T1056 Input Capture; T1213.002 Sharepoint
Stealth,Containers / Kubernetes,5,9.0,10,4,1,T1036.005 Match Legitimate Resource Name or Location; T1036 Masquerading; T1070 Indicator Removal; T1612 Build Image on Host; T1036.010 Masquerade Account Name
Impact,Server / Workload,34,8.99,10,31,0,T1486 Data Encrypted for Impact; T1490 Inhibit System Recovery; T1489 Service Stop; T1485 Data Destruction; T1657 Financial Theft
Privilege Escalation,Cloud Control Plane,24,8.99,10,20,3,T1068 Exploitation for Privilege Escalation; T1078 Valid Accounts; T1543 Create or Modify System Process; T1098 Account Manipulation; T1611 Escape to Host
Lateral Movement,Data / Storage,5,8.88,10,4,1,T1570 Lateral Tool Transfer; T1080 Taint Shared Content; T1021.005 VNC; T1550.004 Web Session Cookie; T1091 Replication Through Removable Media
Persistence,SaaS / Office / Email,29,8.79,10,27,1,T1078 Valid Accounts; T1554 Compromise Host Software Binary; T1176.001 Browser Extensions; T1098 Account Manipulation; T1556 Modify Authentication Process
Credential Access,Cloud Control Plane,29,8.75,10,23,5,T1552.001 Credentials In Files; T1539 Steal Web Session Cookie; T1040 Network Sniffing; T1555 Credentials from Password Stores; T1003.003 NTDS
Lateral Movement,Server / Workload,20,8.66,10,17,1,T1210 Exploitation of Remote Services; T1021.004 SSH; T1021.002 SMB/Windows Admin Shares; T1021.001 Remote Desktop Protocol; T1570 Lateral Tool Transfer
Credential Access,Network / Perimeter,25,8.64,10,19,6,T1056.001 Keylogging; T1056 Input Capture; T1040 Network Sniffing; T1557.001 Name Resolution Poisoning and SMB Relay; T1056.003 Web Portal Capture
Persistence,Public Internet / Edge,30,8.62,10,27,2,T1505.003 Web Shell; T1133 External Remote Services; T1078.002 Domain Accounts; T1078 Valid Accounts; T1176.001 Browser Extensions
Stealth,Cloud Control Plane,17,8.6,10,14,1,T1036.005 Match Legitimate Resource Name or Location; T1036 Masquerading; T1078 Valid Accounts; T1070 Indicator Removal; T1070.009 Clear Persistence
Defense Impairment,Identity / IAM,29,8.54,10,22,6,T1112 Modify Registry; T1484.001 Group Policy Modification; T1222.001 Windows Permissions; T1556 Modify Authentication Process; T1556.006 Multi-Factor Authentication
Stealth,SaaS / Office / Email,13,8.51,10,10,2,T1078 Valid Accounts; T1070 Indicator Removal; T1564 Hide Artifacts; T1564.008 Email Hiding Rules; T1684 Social Engineering
Exfiltration,Public Internet / Edge,9,8.43,10,8,0,T1048.003 Exfiltration Over Unencrypted Non-C2 Protocol; T1567.002 Exfiltration to Cloud Storage; T1567 Exfiltration Over Web Service; T1048 Exfiltration Over Alternative Protocol; T1011.001 Exfiltration Over Bluetooth
Stealth,Public Internet / Edge,33,8.39,10,26,6,T1027 Obfuscated Files or Information; T1078.002 Domain Accounts; T1078 Valid Accounts; T1564 Hide Artifacts; T1218.001 Compiled HTML File
Impact,Identity / IAM,12,8.33,10,10,0,T1489 Service Stop; T1657 Financial Theft; T1561.002 Disk Structure Wipe; T1561.001 Disk Content Wipe; T1491.001 Internal Defacement
Persistence,Server / Workload,110,8.27,10,81,26,T1053.005 Scheduled Task; T1505.003 Web Shell; T1136.001 Local Account; T1078.002 Domain Accounts; T1547.001 Registry Run Keys / Startup Folder
Credential Access,SaaS / Office / Email,36,8.26,10,28,5,T1003.001 LSASS Memory; T1539 Steal Web Session Cookie; T1040 Network Sniffing; T1056.002 GUI Input Capture; T1555.003 Credentials from Web Browsers
Stealth,Data / Storage,72,8.25,10,53,17,T1027 Obfuscated Files or Information; T1574.001 DLL; T1036 Masquerading; T1480 Execution Guardrails; T1140 Deobfuscate/Decode Files or Information
Persistence,Network / Perimeter,33,8.21,10,24,8,T1505.003 Web Shell; T1133 External Remote Services; T1136.001 Local Account; T1078.002 Domain Accounts; T1176.001 Browser Extensions
Defense Impairment,Endpoint / User,30,8.21,10,21,8,T1112 Modify Registry; T1686 Disable or Modify System Firewall; T1484.001 Group Policy Modification; T1222.001 Windows Permissions; T1484.002 Trust Modification
Collection,Network / Perimeter,25,8.2,10,20,2,T1056.001 Keylogging; T1005 Data from Local System; T1125 Video Capture; T1114.002 Remote Email Collection; T1185 Browser Session Hijacking
Defense Impairment,Cloud Control Plane,18,8.19,10,11,7,T1685 Disable or Modify Tools; T1556 Modify Authentication Process; T1556.006 Multi-Factor Authentication; T1484.002 Trust Modification; T1556.007 Hybrid Identity
Privilege Escalation,Data / Storage,29,8.15,10,18,11,T1053.005 Scheduled Task; T1547.001 Registry Run Keys / Startup Folder; T1484.001 Group Policy Modification; T1037.004 RC Scripts; T1611 Escape to Host
Persistence,Endpoint / User,84,8.06,10,60,21,T1053.005 Scheduled Task; T1505.003 Web Shell; T1547.001 Registry Run Keys / Startup Folder; T1112 Modify Registry; T1136.002 Domain Account
Privilege Escalation,Server / Workload,94,8.0,10,58,32,T1053.005 Scheduled Task; T1548.002 Bypass User Account Control; T1068 Exploitation for Privilege Escalation; T1078.002 Domain Accounts; T1547.001 Registry Run Keys / Startup Folder
Exfiltration,Network / Perimeter,19,7.98,10,16,0,T1048.003 Exfiltration Over Unencrypted Non-C2 Protocol; T1041 Exfiltration Over C2 Channel; T1567.002 Exfiltration to Cloud Storage; T1048 Exfiltration Over Alternative Protocol; T1048.002 Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
Stealth,Identity / IAM,65,7.97,10,45,17,T1480 Execution Guardrails; T1078.002 Domain Accounts; T1140 Deobfuscate/Decode Files or Information; T1078 Valid Accounts; T1027.015 Compression
Stealth,Network / Perimeter,61,7.97,10,44,16,T1027 Obfuscated Files or Information; T1480 Execution Guardrails; T1078.002 Domain Accounts; T1070 Indicator Removal; T1027.003 Steganography
Execution,Containers / Kubernetes,7,7.95,10,6,1,T1053 Scheduled Task/Job; T1053.007 Container Orchestration Job; T1610 Deploy Container; T1204 User Execution; T1204.003 Malicious Image
Privilege Escalation,Endpoint / User,78,7.94,10,46,29,T1053.005 Scheduled Task; T1548.002 Bypass User Account Control; T1068 Exploitation for Privilege Escalation; T1547.001 Registry Run Keys / Startup Folder; T1134 Access Token Manipulation
Defense Impairment,Server / Workload,51,7.94,10,31,18,T1685 Disable or Modify Tools; T1112 Modify Registry; T1686 Disable or Modify System Firewall; T1484.001 Group Policy Modification; T1222.001 Windows Permissions
Exfiltration,Cloud Control Plane,6,7.92,10,5,0,T1567 Exfiltration Over Web Service; T1048 Exfiltration Over Alternative Protocol; T1537 Transfer Data to Cloud Account; T1567.004 Exfiltration Over Webhook; T1020.001 Traffic Duplication
Exfiltration,Data / Storage,23,7.9,10,19,0,T1048.003 Exfiltration Over Unencrypted Non-C2 Protocol; T1041 Exfiltration Over C2 Channel; T1567.002 Exfiltration to Cloud Storage; T1567 Exfiltration Over Web Service; T1048 Exfiltration Over Alternative Protocol
Credential Access,Identity / IAM,79,7.82,10,60,7,T1056.001 Keylogging; T1056 Input Capture; T1003.001 LSASS Memory; T1552.001 Credentials In Files; T1539 Steal Web Session Cookie
Persistence,Data / Storage,37,7.82,10,24,12,T1053.005 Scheduled Task; T1547.001 Registry Run Keys / Startup Folder; T1554 Compromise Host Software Binary; T1037.004 RC Scripts; T1546.011 Application Shimming
Privilege Escalation,Network / Perimeter,14,7.81,10,7,6,T1078.002 Domain Accounts; T1037.004 RC Scripts; T1037 Boot or Logon Initialization Scripts; T1547 Boot or Logon Autostart Execution; T1546 Event Triggered Execution
Defense Impairment,Data / Storage,26,7.69,10,13,13,T1484.001 Group Policy Modification; T1222.001 Windows Permissions; T1222 File and Directory Permissions Modification; T1578 Modify Cloud Compute Infrastructure; T1556.008 Network Provider DLL
Defense Impairment,Public Internet / Edge,13,7.69,10,8,3,T1556 Modify Authentication Process; T1556.006 Multi-Factor Authentication; T1556.007 Hybrid Identity; T1687 Exploitation for Defense Impairment; T1553.001 Gatekeeper Bypass
Discovery,ESXi / Hypervisor,20,7.68,9.38,16,4,T1497.003 Time Based Checks; T1622 Debugger Evasion; T1082 System Information Discovery; T1124 System Time Discovery; T1018 Remote System Discovery
Collection,SaaS / Office / Email,22,7.58,10,17,0,T1119 Automated Collection; T1114.002 Remote Email Collection; T1185 Browser Session Hijacking; T1213.006 Databases; T1213 Data from Information Repositories
Stealth,Server / Workload,140,7.57,10,87,40,T1036.005 Match Legitimate Resource Name or Location; T1027 Obfuscated Files or Information; T1574.001 DLL; T1036 Masquerading; T1480 Execution Guardrails
